Uniprot,Entrez_id
Q9NXF1,54881
Q6ZYL4,404672
Q13889,2967
P18074,2068
Q13888,2966
P19447,2071
P32780,2965
Q92759,2968
P51946,902
Q8IU60,167227
Q9P0N9,107080638
Q9P0N9,51256
Q92574,7248
Q9P013,51503
P11142,3312
O43660,5356
Q99459,988
O75934,10286
Q8WYA6,56259
Q9UMS4,27339
Q9Y3E7,100526767
Q9Y3E7,51652
Q7LBR1,57132
Q9H444,128866
P13501,6352
P51681,1234
P54368,4946
P11926,4953
Q8IXH7,51497
Q9H3P2,7469
Q9Y230,10856
Q9ULG1,54617
Q9Y265,8607
Q9H9F9,79913
P08621,6625
P14678,6628
P62304,6635
P62316,6633
P62314,6632
P62308,6637
P62306,6636
Q07955,6426
P09234,6631
P09012,6626
P62318,6634
P83881,6173
P68104,1915
P13639,1938
P22087,2091
P15498,7409
P43405,6850
Q71UM5,51065
P37198,23636
Q99567,4927
P35658,8021
Q8N1F7,9688
Q7Z3B4,53371
Q92979,10436
P78316,8602
Q13895,705
Q9Y5J1,51096
Q96Q05,83696
Q9Y2L5,22878
O75865,79090
Q6PD62,9646
Q7KZ85,6830
Q92900,5976
Q9Y5S9,9939
Q15287,10921
Q92540,9887
Q96Q15,23049
P15170,2935
Q9H1J1,65110
P61326,4116
Q9HAU5,26019
Q8IYD1,23708
Q9BZI7,65109
P38919,9775
O15234,22794
Q9Y4Z0,25804
P62312,11157
Q9Y4Y9,23658
Q9Y333,57819
O43395,9129
O15116,27257
P62310,27258
Q9UK45,51690
O95777,51691
P34130,4909
Q16620,4915
O43633,27243
Q9UN37,27183
O75351,9525
Q9NZ42,55851
Q96BI3,51107
P49810,5664
P49768,5663
Q92542,23385
Q8WW43,83464
P52564,5608
O43318,6885
Q9UNX3,51121
P61619,29927
O14957,10975
O14949,27089
Q9UDW1,29796
P08574,1537
P31930,7384
O43543,7516
P14314,5589
Q14697,23193
Q9BTP7,91442
A8MT69,201254
O15360,2175
Q0VG06,80233
Q8N2Z9,100526739
Q8N2Z9,378708
Q8IYD8,57697
P51570,2584
O00411,5442
Q00059,7019
Q9H5Q4,64216
Q9H633,79897
P78346,10556
Q969H6,51367
Q8NBT2,147841
Q9HBM1,57405
Q9BZD4,83540
O14777,10403
O14925,100287932
Q99595,10440
Q86XP3,11325
O75533,23451
Q15428,8175
O75396,9554
Q8WVM8,23256
Q13190,6811
O14653,9570
Q9UBU9,10482
Q9BRP8,84305
Q13838,7919
P84103,6428
P52298,22916
Q96A72,55110
P11940,26986
Q9H3M7,10628
P10599,7295
P07947,7525
O60716,1500
P06241,2534
Q6P2Q9,10594
Q15029,9343
Q9BZJ0,51340
O43172,9128
O60508,51362
Q8WWY3,26121
O75643,23020
Q9BUQ8,9416
O43290,9092
Q15393,23450
O95391,10569
O94906,24148
Q96DI7,9410
P09661,6627
O14561,4706
O43677,4717
P56556,4700
Q16718,4698
Q86Y39,126328
O95139,4712
P51970,4702
O43920,4725
Q9UI09,55967
P19404,4729
O00217,4728
O95182,4701
O95169,4714
O43181,4724
O95298,4718
Q9Y6M9,4715
O75380,4726
O96000,4716
Q16795,4704
O75489,4722
O43674,4711
O43678,4695
O43676,4709
O75251,374291
P17568,4713
Q96BT3,80152
A0A0A0MRK5,387103
Q9UKV3,22985
P13073,1327
P09669,1345
P00403,4513
P20674,9377
P10606,1329
A4GXA9,197342
Q96NY9,80198
Q8NBZ0,283899
Q6P4R8,4798
Q9BVC4,64223
P42345,2475
Q8N122,57521
Q6R327,253260
Q9BPZ7,79109
P15735,5261
P46019,5256
Q14137,23246
Q9BVP2,26354
O00567,10528
Q9Y2X3,51602
Q9GZL7,55759
Q12788,10607
Q8NI36,134430
Q15061,23160
O15213,9277
Q14692,9790
Q9H583,55127
Q9UNX4,10885
Q9H6R4,65083
Q9NV06,25879
Q8TED0,84135
Q15269,5822
Q9NYH9,55813
O43818,9136
Q13601,11103
Q13114,7187
P25942,958
P01130,3949
Q8NBP7,255738
P05106,3690
P08514,3674
P06756,3685
P61769,567
P13747,3133
P13804,2108
Q16134,2110
P38117,2109
P52655,2957
P52657,2958
P31749,207
P67775,5515
O43524,2309
O15530,5170
P49841,2932
P29474,4846
P61011,6729
P09132,6728
O76094,6731
Q9UHB9,6730
P49458,6726
P37108,6727
Q52LA3,91750
Q5TKA1,286826
Q96GY3,55957
P07910,3183
Q86V81,10189
P22626,3181
P09651,3178
P14866,3191
P61916,10577
O15118,4864
P49763,5228
Q9UNS1,8914
P15927,6118
Q9BVW5,54962
P27694,6117
P35244,6119
Q9Y6G3,28977
Q9Y3D5,51023
P61923,22818
Q9UBF2,26958
P53621,1314
P35606,9276
Q9Y678,22820
P48444,372
P53618,1315
O14727,317
P55211,842
Q8NFH4,79023
P55735,6396
Q8NFH3,348995
P57740,57122
P20290,689
Q99471,5204
O15212,10471
Q9NQP4,5203
Q9UHV9,5202
P61758,7411
O60925,5201
Q92901,6123
P62826,5901
P43487,5902
P46060,5905
O14980,7514
P18754,1104
Q14974,3837
P49792,5903
Q9HAV4,57510
P61970,10204
P48059,3987
Q13418,3611
O43639,8440
Q9BSJ2,10844
Q96CW5,10426
Q96RT7,85378
O95628,4850
O75175,4849
A5YKK6,23019
Q15276,9135
P20339,5868
P51948,4331
Q5TA45,54973
Q9NV88,55756
P56377,8905
Q9BXS5,8907
O43747,164
Q10567,162
Q96F07,26999
Q99967,10370
Q92793,1387
Q9GZS1,64425
O95602,25885
Q3B726,221830
P49790,9972
Q9UKX7,10762
Q9H7L9,64426
Q96ST3,25942
Q9UPS6,23067
Q15291,5929
Q13472,7156
O15287,2189
P54132,641
Q9H9A7,80010
Q86VP6,55832
Q13616,8454
Q9UBD5,23595
Q9Y5N6,23594
P11215,3684
P16157,286
P51677,1232
P51671,6356
P0CG48,7316
Q15819,7336
Q9NYJ8,23118
P61088,7334
Q9NS91,56852
Q16763,27338
P61086,3093
O95178,4708
O75438,4707
O95168,4710
P84077,375
Q99418,9266
P60006,25906
P78560,8738
P42575,835
Q6NZY4,55596
Q9Y580,10179
Q8ND04,55181
Q9H0W8,56006
P52292,3838
Q9Y5J9,26521
Q9Y5L4,26517
Q9UI30,51504
O43709,114049
Q9Y5N5,29104
Q9UBW8,50813
Q13098,2873
Q92905,10987
Q99627,10920
Q7L5N1,10980
P61201,9318
Q9UNS2,8533
Q9BT78,51138
P26715,3821
Q16665,3091
Q9GZT9,54583
Q9NWT6,55662
Q7L9L4,92597
Q9H8S9,55233
Q9UPY3,23405
Q9UL18,26523
Q15633,6895
Q9UKV8,27161
Q8IYB3,10250
Q9UKK6,29107
Q15418,6195
P28482,5594
O95997,9232
O43684,9184
P51955,4751
Q13257,4085
Q8IZL2,84441
Q99466,4855
Q06330,3516
Q92585,9794
P46531,4851
Q9UM47,4854
Q04721,4853
Q16881,7296
Q96HW7,92105
P42695,23310
Q86XI2,54892
Q9NTJ3,10051
Q6IBW4,29781
Q9Y4K3,7189
Q7Z434,57506
Q99836,4615
P14778,3554
P51617,3654
O15455,7098
Q14008,9793
Q9Y6A5,10460
P23528,1072
P60709,60
O75143,9776
Q9BSB4,60673
O75385,8408
Q8TDY2,9821
P25685,3337
P07384,823
P20810,831
P04629,4914
P01138,4803
Q9NWU5,29093
Q9HD33,57129
Q5T653,51069
Q9NX20,54948
Q9NRX2,63875
P09001,11222
Q9BYD3,51073
Q9P0M9,51264
P25963,4792
O00244,475
Q04656,538
P14927,7381
P00156,4519
P07919,7388
P47985,7386
P22695,7385
Q9UFF9,9337
Q75QN2,55656
Q9NVH2,25896
O96020,9134
P24941,1017
P24863,892
P49336,1024
Q9BWU1,23097
P15954,1350
P14854,1340
O95487,10427
Q15436,10484
Q15389,284
Q02763,7010
P60059,23480
P27986,5295
P42336,5290
P50616,10140
Q9UIV1,29883
P06493,983
P20248,890
O75943,5884
P40938,5983
P35250,5982
P62879,2783
Q9HAV0,59345
P16520,2784
Q9NRR4,29102
Q8WYQ5,54487
Q9NV70,55763
Q04637,1981
O43432,8672
Q13541,1978
Q14240,1974
P60842,1973
O94817,9140
Q9H1Y0,9474
O95352,10533
Q9NT62,64422
Q96LI5,246175
Q9HCS7,56949
P52272,4670
Q13573,22938
O95926,25949
Q9NW64,55696
O60306,9716
Q9NP92,10884
Q9UHA4,8649
Q8NBW4,153129
Q7L523,10670
Q9HB90,64121
Q9NQL2,58528
Q9Y2Q5,28956
Q0VGL1,389541
Q6IAA8,55004
Q5VZM2,10325
O43504,10542
Q9P0J0,51079
O95167,4696
P28331,4719
P49821,4723
Q9P0J6,64979
Q9Y3D3,51021
Q9NQ50,64976
P82912,64963
Q9BYC8,64983
Q969X6,84916
Q8IWA0,84128
Q6P1K8,728340
Q6P1K8,730394
O94813,9353
Q9Y6N7,6091
Q8NI27,57187
Q9H9Q4,79840
P78527,5591
Q96H20,11267
Q86VN1,51028
Q9BRG1,84313
Q96JK9,55534
O60783,63931
P82914,64960
Q9Y399,51116
P82933,64965
P82663,64432
P82664,55173
Q8N766,23065
Q9Y3B6,51016
Q5J8M3,51234
Q9P0I2,55831
Q15006,9694
Q13769,8563
Q09161,4686
Q86W42,79228
Q6I9Y2,80145
Q96J01,84321
Q96FV9,9984
P41217,4345
Q8TD46,131450
Q9NR33,56655
Q9NRF9,54107
Q00535,1020
Q15078,8851
Q86X83,51122
Q9GZQ3,28991
Q9Y6G5,51397
Q9H6S1,64343
Q9UHD2,29110
Q96I99,8801
P53597,8802
P05166,5096
P05165,5095
Q68CQ4,27042
Q9NQZ2,57050
P38398,672
Q6UWZ7,84142
Q96RL1,51720
P42771,1029
P11802,1019
O15239,4694
O75306,4720
P03897,4537
P03891,4536
P03905,4538
P03915,4540
P03886,4535
P56181,4731
O00483,4697
Q9NX14,54539
O95299,4705
Q9UNZ2,55968
P55072,7415
Q13362,5527
Q15257,5524
P31751,208
Q9Y5P8,28227
P63151,5520
P30153,5518
P30154,5519
Q9Y243,10000
Q9Y5M8,58477
P08240,6734
Q8IZX4,138474
P49848,6878
O76071,9391
Q96T76,64210
Q9Y3D0,51647
O00311,8317
P82650,56945
P51398,7818
Q9Y2Q9,28957
Q9Y676,28973
Q96EY7,55037
P82673,60488
P41227,8260
Q9BXJ9,80155
P49406,9801
Q9NVS2,55168
Q8IXM3,64975
Q8N983,84545
Q9H2W6,26589
Q9BYD1,28998
Q13405,740
P82675,64969
Q9P015,29088
Q9H9J2,65080
Q9UI12,51606
P21281,526
P36543,529
Q9Y5K8,51382
P62995,6434
Q16629,6432
Q7L014,9879
P22570,2232
P10109,2230
Q8WUP2,54751
P21333,2316
P23588,1975
Q14232,1967
Q9NR50,8891
Q13144,8893
P49770,8892
Q9BUI4,10623
Q96CB8,57117
Q07866,3831
Q9H0B6,64837
Q9UJW0,51164
Q9BTE1,84516
O00399,10671
Q6IA86,55250
Q96EB1,26610
O95163,8518
Q9H9T3,55140
Q9H0H0,57508
Q8NCD3,55355
P49450,1058
O95983,53615
Q9BTC8,57504
Q8WXI9,57459
Q86YP4,54815
Q04446,2632
P13807,2997
P55769,4809
Q7RTV0,84844
P29692,1936
P26641,1937
Q8N1B4,6293
Q5VIR6,55275
Q9UID3,738
Q9P1Q0,51542
Q13561,10540
P61163,10121
Q14203,1639
Q96SY0,81556
P40937,5985
P35249,5984
P35251,5981
P12004,5111
P62068,64854
Q8TAF3,57599
P01112,3265
Q07889,6654
P04049,5894
P21675,6872
Q6P1X5,6873
Q7Z7C8,129685
Q15542,6877
Q15544,6882
Q15545,6879
Q07864,5426
Q96RY7,9742
Q9HBG6,55764
P61956,6613
Q9P0U3,29843
P63279,7329
Q9UBE0,10055
Q9BRT9,84296
Q9Y248,51659
Q9BZK7,79718
O75376,9611
P06744,2821
P60174,7167
Q14690,22984
Q9BVI4,79050
P53609,5229
P49354,2339
Q92800,2145
Q15022,23512
Q9H0H5,29127
O95235,10112
Q9H8V3,1894
Q02241,9493
Q96LB3,80173
Q8WYA0,28981
Q96SB8,79677
Q8WV22,197370
Q8IY18,23137
Q96MG7,56160
Q96MF7,286053
Q9H1D9,10621
Q96AH0,64859
P62495,2107
Q15050,23212
O95786,23586
Q96JG6,55610
Q9NWZ3,51135
O43187,3656
P29353,6464
P62993,2885
Q75N03,79872
Q15007,9589
Q69YN4,25962
Q14691,9837
P47756,832
P47755,830
P52907,829
Q9BWJ5,83443
P08579,6629
P52597,3185
P61586,387
Q9NZN5,23365
O15085,9826
P52565,396
Q5VWG9,83860
Q9HBM6,51616
Q12962,6881
Q16514,6883
O00268,6874
Q15596,10499
P10275,367
Q9H9A5,25904
Q9UKZ1,55571
P39656,1650
Q9H0U3,84061
P04843,6184
Q8TCJ2,201595
P61803,1603
P04844,6185
P28068,3109
Q9NYV4,51755
O75909,8812
Q13630,7264
O60547,2762
P20333,7133
Q15628,8717
Q12933,7186
P19438,7132
Q5RKV6,118460
Q96B26,11340
Q06265,5393
Q9Y2L1,22894
Q01780,5394
Q13868,23404
Q9Y3B2,51013
Q9NQT5,51010
Q8TF46,115752
Q9NPD3,54512
Q15024,23016
Q99547,10200
P42285,23517
Q9NQT4,56915
P14222,5551
P10144,3002
Q15329,1875
P28749,5933
O96019,86
Q12824,6598
Q9Y2V7,57511
Q14746,22796
Q9H9E3,25839
Q96MW5,84342
P83436,91949
Q8WTW3,9382
Q9UP83,10466
Q96JB2,83548
Q9BSV6,79042
Q8WW01,116461
Q8NCE0,80746
Q13952,4802
P23511,4800
P25208,4801
P00374,1719
P04818,7298
Q13123,3550
Q2TAY7,55234
P51532,6597
Q96GM5,6602
Q969G3,6605
O14497,8289
Q8TAQ2,6601
Q92922,6599
P19652,5005
P02763,5004
Q9UI10,8890
P63165,7341
P45984,5601
P05412,3725
Q15014,9643
Q9NV56,55257
Q9BW83,11020
Q9Y547,51668
P47813,1964
Q9UBU7,10926
Q86U70,8861
P25791,4005
Q9HCG8,57703
P41223,8896
P83876,10907
P56945,9564
P49023,5829
P50542,5830
O75381,5195
P29401,7086
P37837,6888
P10070,2736
Q9UMX1,51684
Q7Z7A3,90353
Q2VPK5,348180
O95229,11130
P18859,522
P24539,515
P56385,521
O75947,10476
P56134,9551
P48047,539
P56381,514
P30049,513
O15143,10095
P59998,10093
P61160,10097
Q9BPX5,81873
O15144,10109
O15511,10092
P61158,10096
O15145,10094
P61966,1174
Q99081,6938
P15884,6925
O14757,1111
Q13535,545
P30304,993
Q13315,472
P60468,10952
Q92747,10552
P16220,1385
Q53ET0,200186
Q16602,10203
O60894,10267
O60895,10266
Q8NI22,90411
P49257,3998
P10523,6295
P08100,6010
O43566,10636
Q96EB6,23411
Q9NVR2,55174
Q9BQ15,79035
Q9NVM9,55726
P05231,3569
P08887,3570
Q9Y6D9,8379
Q15717,1994
P26599,5725
Q15788,8648
Q9NW38,55120
Q8NB91,2187
Q9NPI8,2188
Q00597,2176
Q14469,3280
O15235,6183
P11474,2101
Q9UBK2,10891
P38936,1026
P30281,896
P04637,7157
P24864,898
P30279,894
P78396,8900
P24385,595
Q16526,1407
Q9HBI1,29780
Q9UBB9,24144
O43143,1665
Q04206,5970
Q13620,8450
Q16531,1642
Q9Y618,9612
O15379,8841
O94776,9219
O43447,10465
Q9HB96,2178
Q9HC73,64109
Q969D9,85480
Q96PU5,23327
P62837,7322
O15105,4092
P60953,998
P42768,7454
Q9UQB8,10458
Q13153,5058
O00401,8976
O60341,23028
Q9UKL0,23186
P62942,2280
P63162,6638
P63162,8926
P78324,140885
Q08722,961
Q96EE3,81929
Q9BW27,79902
P22234,10606
P22102,2618
P78352,1742
O14490,9229
Q92696,5875
P53611,5876
P82932,64968
Q9BYD2,65005
O15318,10622
Q9Y535,171568
Q9NVU0,55718
P12931,6714
P16591,2241
P12830,999
Q6ZN18,121536
Q09028,5928
Q92833,3720
Q15910,2146
O75530,8726
O95486,10802
O14788,8600
O00300,4982
Q9H251,64072
Q9Y6N9,10083
P25705,498
P36542,509
P06576,506
Q9H0F6,81858
Q96EP0,55072
P20591,4599
Q15646,8638
P34998,104909134
P34998,1394
P06850,1392
P57081,10785
Q9UBP6,4234
Q92945,8570
Q9HD42,5119
P05107,3689
P20701,3683
Q9UHV7,9969
P48454,5533
P63098,5534
P48449,4047
Q16850,1595
Q86WV5,100134934
Q9H668,79991
Q52LJ0,283742
Q92499,1653
Q9Y224,51637
Q14289,2185
P01308,3630
P06213,3643
P43034,5048
Q9GZM8,81565
Q9BXL7,84433
O95999,8915
Q00978,10379
P52630,6773
Q9NVD7,55742
Q7Z4I7,55679
P05198,1965
Q9Y3Y2,26097
Q13043,6789
P05556,3688
P08648,3678
P63104,7534
P31946,7529
P21283,528
P15313,525
Q8NDV7,27327
P24394,3566
P05112,3565
Q13554,816
Q13557,817
P45983,5599
P01903,3122
P04233,972
O75575,27297
O94979,22872
P33552,1164
O00762,11065
P30307,995
P61024,1163
O43683,699
O95067,9133
P52732,3832
Q9BPX3,64151
O14965,6790
Q9Y5J7,26520
P62072,26519
P53350,5347
Q96GD4,9212
Q08209,5530
Q86U86,55193
Q68CP9,196528
Q9NQS7,3619
Q53HL2,55143
Q12904,9255
O43324,9521
P07814,2058
P47897,5859
P56192,4141
P54136,5917
Q13155,7965
P05156,3426
P08603,3075
Q92934,572
Q07817,598
O00522,889
O14713,9270
P29084,2961
P50991,10575
Q8TAM1,79738
Q92526,10693
P17987,6950
P78371,10576
P49368,7203
P50990,10694
P40227,908
Q99832,10574
Q9P2J5,51520
P41252,3376
Q9BVJ6,10813
P12814,87
O43707,81
P18206,7414
Q9P289,51765
Q9Y376,51719
P43080,118142757
P43080,2978
Q02846,3000
O75448,9862
Q14674,9700
Q6P1L8,64928
Q7Z2W9,219927
Q96A35,79590
Q9BYD6,65008
Q9Y3B7,65003
Q14197,3396
Q9P2R7,8803
Q9P2W1,29893
Q9BWT6,84057
P55273,1032
Q00534,1021
P05496,516
P48201,518
Q92600,9125
Q96H22,55839
O43791,8405
Q13618,8452
Q96AY2,146956
Q92889,2072
O43521,10018
Q9UBF6,9616
Q15843,4738
Q96AJ9,143187
O43752,10228
O75379,8674
Q9Y291,51650
Q92665,10240
Q9UI08,51466
Q8N8S7,55740
P50552,7408
Q9BUL8,11235
O00506,10494
P46977,3703
Q9UQC2,9846
P00533,1956
P22681,867
O43516,7456
Q01130,6427
Q9BVC3,79075
P32856,2054
P63027,6844
Q9BV40,8673
O00161,8773
Q15836,9341
Q9H9Q2,64708
Q9UER7,1616
Q9UBT2,10054
P24534,1933
P13010,7520
P12956,2547
Q9Y3D8,102157402
Q15543,6884
Q676U5,55054
P28715,2073
P50613,1022
O14775,10681
Q14004,8621
Q96FX7,115708
Q9UJA5,51605
Q13901,10438
Q15631,7247
Q99598,7257
Q92541,23168
Q6P1J9,79577
Q8WVC0,123169
Q9Y5B9,11198
Q6P2E9,23644
